date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1
2019-12-08,2019,0,0,ATL,CAR,1401.74707170805,1535.00865348355,0.40300849286606166,,,
2019-12-08,2019,0,0,MIN,DET,1618.16460424209,1491.54299004694,0.7508335197864617,,,
2019-12-08,2019,0,0,HOU,DEN,1560.0059083883,1432.87922009863,0.751377054326322,,,
2019-12-08,2019,0,0,GB,WSH,1586.14114154323,1348.28115389261,0.8511186967591716,,,
2019-12-08,2019,0,0,JAX,LAC,1479.23149163593,1506.01443841784,0.5547780106317206,,,
2019-12-08,2019,0,0,ARI,PIT,1382.39704596737,1554.82586441449,0.350143160743344,,,
2019-12-08,2019,0,0,NE,KC,1726.0621791884,1594.99899269535,0.7555860605597863,,,
2019-12-08,2019,0,0,OAK,TEN,1430.72212992009,1505.88064622587,0.4853848844184132,,,
2019-12-08,2019,0,0,LAR,SEA,1589.8549233214,1574.45872778087,0.6136776589527558,,,
2019-12-09,2019,0,0,PHI,NYG,1564.1724980887,1363.76637613557,0.821684265832649,,,
2019-12-12,2019,0,0,BAL,NYJ,1602.36514160415,1326.87894194667,0.8765325324484124,,,
2019-12-15,2019,0,0,CIN,NE,1313.38084196567,1726.0621791884,0.11905447173846945,,,
2019-12-15,2019,0,0,CAR,SEA,1535.00865348355,1574.45872778087,0.5367031599730214,,,
2019-12-15,2019,0,0,NYG,MIA,1363.76637613557,1318.43454062777,0.6536497472943383,,,
2019-12-15,2019,0,0,TEN,HOU,1505.88064622587,1560.0059083883,0.5156448970520348,,,
2019-12-15,2019,0,0,PIT,BUF,1554.82586441449,1485.36405116043,0.6843908122717561,,,
2019-12-15,2019,0,0,DET,TB,1491.54299004694,1444.23443988596,0.6562213090981628,,,
2019-12-15,2019,0,0,GB,CHI,1586.14114154323,1544.53753363763,0.648775175550604,,,
2019-12-15,2019,0,0,KC,DEN,1594.99899269535,1432.87922009863,0.7870788470081302,,,
2019-12-15,2019,0,0,WSH,PHI,1348.28115389261,1564.1724980887,0.2955456131802609,,,
2019-12-15,2019,0,0,OAK,JAX,1430.72212992009,1479.23149163593,0.523714130970347,,,
2019-12-15,2019,0,0,ARI,CLE,1382.39704596737,1444.38508413649,0.5043344529249436,,,
2019-12-15,2019,0,0,DAL,LAR,1559.38793976186,1589.8549233214,0.5495339946334711,,,
2019-12-15,2019,0,0,SF,ATL,1610.5064238178,1401.74707170805,0.8286210160541173,,,
2019-12-15,2019,0,0,LAC,MIN,1506.01443841784,1618.16460424209,0.4325589689607381,,,
2019-12-16,2019,0,0,NO,IND,1677.66877619932,1586.40610460413,0.7108509029543622,,,
2019-12-21,2019,0,0,SF,LAR,1610.5064238178,1589.8549233214,0.6208245931910522,,,
2019-12-21,2019,0,0,DEN,DET,1432.87922009863,1491.54299004694,0.5091175572493549,,,
2019-12-21,2019,0,0,NE,BUF,1726.0621791884,1485.36405116043,0.8531770791861477,,,
2019-12-21,2019,0,0,LAC,OAK,1506.01443841784,1430.72212992009,0.6915951654329334,,,
2019-12-21,2019,0,0,TB,HOU,1444.23443988596,1560.0059083883,0.4274496767226585,,,
2019-12-22,2019,0,0,TEN,NO,1505.88064622587,1677.66877619932,0.3509828247803363,,,
2019-12-22,2019,0,0,CLE,BAL,1444.38508413649,1602.36514160415,0.36929644944380413,,,
2019-12-22,2019,0,0,IND,CAR,1586.40610460413,1535.00865348355,0.6615115760768978,,,
2019-12-22,2019,0,0,ATL,JAX,1401.74707170805,1479.23149163593,0.4820412041918711,,,
2019-12-22,2019,0,0,NYJ,PIT,1326.87894194667,1554.82586441449,0.2813049375144807,,,
2019-12-22,2019,0,0,MIA,CIN,1318.43454062777,1313.38084196567,0.599471019050791,,,
2019-12-22,2019,0,0,WSH,NYG,1348.28115389261,1363.76637613557,0.5707789549726099,,,
2019-12-22,2019,0,0,PHI,DAL,1564.1724980887,1559.38793976186,0.5990989671978124,,,
2019-12-22,2019,0,0,SEA,ARI,1574.45872778087,1382.39704596737,0.8145372324750263,,,
2019-12-22,2019,0,0,CHI,KC,1544.53753363763,1594.99899269535,0.5209104387840907,,,
2019-12-23,2019,0,0,MIN,GB,1618.16460424209,1586.14114154323,0.6361081637157244,,,
2019-12-29,2019,0,0,DAL,WSH,1559.38793976186,1348.28115389261,0.8305314485692207,,,
2019-12-29,2019,0,0,BUF,NYJ,1485.36405116043,1326.87894194667,0.7835514246948299,,,
2019-12-29,2019,0,0,NE,MIA,1726.0621791884,1318.43454062777,0.9382349882957268,,,
2019-12-29,2019,0,0,HOU,TEN,1560.0059083883,1505.88064622587,0.6650186289246681,,,
2019-12-29,2019,0,0,TB,ATL,1444.23443988596,1401.74707170805,0.6499335263015793,,,
2019-12-29,2019,0,0,BAL,PIT,1602.36514160415,1554.82586441449,0.6565208756270825,,,
2019-12-29,2019,0,0,MIN,CHI,1618.16460424209,1544.53753363763,0.6895468344274961,,,
2019-12-29,2019,0,0,DET,GB,1491.54299004694,1586.14114154323,0.4575075810035973,,,
2019-12-29,2019,0,0,CIN,CLE,1313.38084196567,1444.38508413649,0.40613872491357783,,,
2019-12-29,2019,0,0,CAR,NO,1535.00865348355,1677.66877619932,0.3900629539380637,,,
2019-12-29,2019,0,0,NYG,PHI,1363.76637613557,1564.1724980887,0.3144362165497061,,,
2019-12-29,2019,0,0,KC,LAC,1594.99899269535,1506.01443841784,0.7081480126365851,,,
2019-12-29,2019,0,0,JAX,IND,1479.23149163593,1586.40610460413,0.43960221818395767,,,
2019-12-29,2019,0,0,SEA,SF,1574.45872778087,1610.5064238178,0.5415695378261552,,,
2019-12-29,2019,0,0,DEN,OAK,1432.87922009863,1430.72212992009,0.5954608888417607,,,
2019-12-29,2019,0,0,LAR,ARI,1589.8549233214,1382.39704596737,0.8275544850974316,,,
